"source","target","value"
"F-RVHRCOR","S-Denoised",0
"F-ANATICOR","S-Denoised",0
"F-PESTICA","S-Denoised",0
"F-CompCor","S-Denoised",0
"F-tCompCor","S-Denoised",0
"F-aCompCor","S-Denoised",0
"F-ME_ICA","S-Denoised",0
"F-ArtRepair","S-Denoised",0
"F-Temporal_detrending","S-Denoised",0
"F-Global_signal","S-Denoised",0
"F-ICA_FIX","S-Denoised",0
"F-ICA_AROMA","S-Denoised",0
"F-Temporal_filt","S-Denoised",0
"F-motion_regression","S-Denoised",0
"F-Other_confound_regression","S-Denoised",0
"F-PhysIO","S-Denoised",0
"F-Regressors_filter","S-Denoised",0
"F-Modular_filter_motion","S-Denoised",0
"F-wavelet_decomposition","S-Denoised",0
"Atlas_definition","S-Denoised",0
"Time_series_ROI","S-Denoised",0
"ROI_definition","S-Denoised",0
"Combine_block","S-Denoised",0
"Compute_connectivity","S-Denoised",0
"Connectivity_normalization","S-Denoised",0
"Network_definition","S-Denoised",0
"Graph_characteristics","S-Denoised",0
"Negative_correlation","S-Denoised",0
"Sparsity_control","S-Denoised",0
"Graph_measures","S-Denoised",0
"Result_aggregation","S-Denoised",0
"Software","S-Gradient_Distortion_Correction",21
"S-INU_correction","S-Gradient_Distortion_Correction",0
"S-Denoised","S-Gradient_Distortion_Correction",0
"S-Gradient_Distortion_Correction","S-Gradient_Distortion_Correction",0
"S-Fuse_conform","S-Gradient_Distortion_Correction",0
"S-Skull_stripping","S-Gradient_Distortion_Correction",0
"S-Spatial_normalization","S-Gradient_Distortion_Correction",0
"S-BBR_crossmodal_registration","S-Gradient_Distortion_Correction",0
"S-Surface_reconstruction","S-Gradient_Distortion_Correction",0
"S-Segmentation","S-Gradient_Distortion_Correction",0
"F-Exclusion","S-Gradient_Distortion_Correction",0
"F-Concatenate_Runs","S-Gradient_Distortion_Correction",0
"F-Removal_Init_Vol","S-Gradient_Distortion_Correction",0
"F-Skull_extraction","S-Gradient_Distortion_Correction",0
"F-Alignment/Head_motion_est","S-Gradient_Distortion_Correction",0
"F-Despiking","S-Gradient_Distortion_Correction",0
"F-Scrubbing","S-Gradient_Distortion_Correction",0
"F-Interpolate","S-Gradient_Distortion_Correction",0
"F-Slice_timing_correction","S-Gradient_Distortion_Correction",0
"F-Field_map_correction","S-Gradient_Distortion_Correction",0
"F-Unwarp","S-Gradient_Distortion_Correction",0
"F-Combined_echos","S-Gradient_Distortion_Correction",0
"F-Intensity_normalization","S-Gradient_Distortion_Correction",0
"F-Grand_mean_scaling","S-Gradient_Distortion_Correction",0
"F-Coregistration","S-Gradient_Distortion_Correction",0
"F-Spatial_normalization","S-Gradient_Distortion_Correction",0
"F-Spatial_smooth","S-Gradient_Distortion_Correction",0
"F-Extract_regressors","S-Gradient_Distortion_Correction",0
"F-surface","S-Gradient_Distortion_Correction",0
"F-RETROICOR","S-Gradient_Distortion_Correction",0
"F-RVHRCOR","S-Gradient_Distortion_Correction",0
"F-ANATICOR","S-Gradient_Distortion_Correction",0
"F-PESTICA","S-Gradient_Distortion_Correction",0
"F-CompCor","S-Gradient_Distortion_Correction",0
"F-tCompCor","S-Gradient_Distortion_Correction",0
"F-aCompCor","S-Gradient_Distortion_Correction",0
"F-ME_ICA","S-Gradient_Distortion_Correction",0
"F-ArtRepair","S-Gradient_Distortion_Correction",0
"F-Temporal_detrending","S-Gradient_Distortion_Correction",0
"F-Global_signal","S-Gradient_Distortion_Correction",0
"F-ICA_FIX","S-Gradient_Distortion_Correction",0
"F-ICA_AROMA","S-Gradient_Distortion_Correction",0
"F-Temporal_filt","S-Gradient_Distortion_Correction",0
"F-motion_regression","S-Gradient_Distortion_Correction",0
"F-Other_confound_regression","S-Gradient_Distortion_Correction",0
"F-PhysIO","S-Gradient_Distortion_Correction",0
"F-Regressors_filter","S-Gradient_Distortion_Correction",0
"F-Modular_filter_motion","S-Gradient_Distortion_Correction",0
"F-wavelet_decomposition","S-Gradient_Distortion_Correction",0
"Atlas_definition","S-Gradient_Distortion_Correction",0
"Time_series_ROI","S-Gradient_Distortion_Correction",0
"ROI_definition","S-Gradient_Distortion_Correction",0
"Combine_block","S-Gradient_Distortion_Correction",0
"Compute_connectivity","S-Gradient_Distortion_Correction",0
"Connectivity_normalization","S-Gradient_Distortion_Correction",0
"Network_definition","S-Gradient_Distortion_Correction",0
"Graph_characteristics","S-Gradient_Distortion_Correction",0
"Negative_correlation","S-Gradient_Distortion_Correction",0
"Sparsity_control","S-Gradient_Distortion_Correction",0
"Graph_measures","S-Gradient_Distortion_Correction",0
"Result_aggregation","S-Gradient_Distortion_Correction",0
"Software","S-Fuse_conform",0
"S-INU_correction","S-Fuse_conform",0
"S-Denoised","S-Fuse_conform",0
"S-Gradient_Distortion_Correction","S-Fuse_conform",0
"S-Fuse_conform","S-Fuse_conform",0
"S-Skull_stripping","S-Fuse_conform",0
"S-Spatial_normalization","S-Fuse_conform",0
"S-BBR_crossmodal_registration","S-Fuse_conform",0
"S-Surface_reconstruction","S-Fuse_conform",0
"S-Segmentation","S-Fuse_conform",0
"F-Exclusion","S-Fuse_conform",0
"F-Concatenate_Runs","S-Fuse_conform",0
"F-Removal_Init_Vol","S-Fuse_conform",0
"F-Skull_extraction","S-Fuse_conform",0
"F-Alignment/Head_motion_est","S-Fuse_conform",0
"F-Despiking","S-Fuse_conform",0
"F-Scrubbing","S-Fuse_conform",0
"F-Interpolate","S-Fuse_conform",0
"F-Slice_timing_correction","S-Fuse_conform",0
"F-Field_map_correction","S-Fuse_conform",0
"F-Unwarp","S-Fuse_conform",0
"F-Combined_echos","S-Fuse_conform",0
"F-Intensity_normalization","S-Fuse_conform",0
"F-Grand_mean_scaling","S-Fuse_conform",0
"F-Coregistration","S-Fuse_conform",0
"F-Spatial_normalization","S-Fuse_conform",0
"F-Spatial_smooth","S-Fuse_conform",0
"F-Extract_regressors","S-Fuse_conform",0
"F-surface","S-Fuse_conform",0
"F-RETROICOR","S-Fuse_conform",0
"F-RVHRCOR","S-Fuse_conform",0
"F-ANATICOR","S-Fuse_conform",0
"F-PESTICA","S-Fuse_conform",0
"F-CompCor","S-Fuse_conform",0
"F-tCompCor","S-Fuse_conform",0
"F-aCompCor","S-Fuse_conform",0
"F-ME_ICA","S-Fuse_conform",0
"F-ArtRepair","S-Fuse_conform",0
"F-Temporal_detrending","S-Fuse_conform",0
"F-Global_signal","S-Fuse_conform",0
"F-ICA_FIX","S-Fuse_conform",0
"F-ICA_AROMA","S-Fuse_conform",0
"F-Temporal_filt","S-Fuse_conform",0
"F-motion_regression","S-Fuse_conform",0
"F-Other_confound_regression","S-Fuse_conform",0
"F-PhysIO","S-Fuse_conform",0
"F-Regressors_filter","S-Fuse_conform",0
"F-Modular_filter_motion","S-Fuse_conform",0
"F-wavelet_decomposition","S-Fuse_conform",0
"Atlas_definition","S-Fuse_conform",0
"Time_series_ROI","S-Fuse_conform",0
"ROI_definition","S-Fuse_conform",0
"Combine_block","S-Fuse_conform",0
"Compute_connectivity","S-Fuse_conform",0
"Connectivity_normalization","S-Fuse_conform",0
"Network_definition","S-Fuse_conform",0
"Graph_characteristics","S-Fuse_conform",0
"Negative_correlation","S-Fuse_conform",0
"Sparsity_control","S-Fuse_conform",0
"Graph_measures","S-Fuse_conform",0
"Result_aggregation","S-Fuse_conform",0
"Software","S-Skull_stripping",8
"S-INU_correction","S-Skull_stripping",5
"S-Denoised","S-Skull_stripping",0
"S-Gradient_Distortion_Correction","S-Skull_stripping",21
"S-Fuse_conform","S-Skull_stripping",0
"S-Skull_stripping","S-Skull_stripping",0
"S-Spatial_normalization","S-Skull_stripping",0
"S-BBR_crossmodal_registration","S-Skull_stripping",0
"S-Surface_reconstruction","S-Skull_stripping",0
