"source","target","value"
"F-Alignment/Head_motion_est","F-Exclusion",11
"F-Despiking","F-Exclusion",0
"F-Scrubbing","F-Exclusion",9
"F-Interpolate","F-Exclusion",1
"F-Slice_timing_correction","F-Exclusion",2
"F-Field_map_correction","F-Exclusion",0
"F-Unwarp","F-Exclusion",0
"F-Combined_echos","F-Exclusion",0
"F-Intensity_normalization","F-Exclusion",1
"F-Grand_mean_scaling","F-Exclusion",0
"F-Coregistration","F-Exclusion",0
"F-Spatial_normalization","F-Exclusion",1
"F-Spatial_smooth","F-Exclusion",2
"F-Extract_regressors","F-Exclusion",0
"F-surface","F-Exclusion",0
"F-RETROICOR","F-Exclusion",0
"F-RVHRCOR","F-Exclusion",0
"F-ANATICOR","F-Exclusion",0
"F-PESTICA","F-Exclusion",0
"F-CompCor","F-Exclusion",0
"F-tCompCor","F-Exclusion",0
"F-aCompCor","F-Exclusion",0
"F-ME_ICA","F-Exclusion",0
"F-ArtRepair","F-Exclusion",0
"F-Temporal_detrending","F-Exclusion",1
"F-Global_signal","F-Exclusion",2
"F-ICA_FIX","F-Exclusion",1
"F-ICA_AROMA","F-Exclusion",0
"F-Temporal_filt","F-Exclusion",6
"F-motion_regression","F-Exclusion",1
"F-Other_confound_regression","F-Exclusion",2
"F-PhysIO","F-Exclusion",0
"F-Regressors_filter","F-Exclusion",0
"F-Modular_filter_motion","F-Exclusion",0
"F-wavelet_decomposition","F-Exclusion",0
"Atlas_definition","F-Exclusion",0
"Time_series_ROI","F-Exclusion",0
"ROI_definition","F-Exclusion",0
"Combine_block","F-Exclusion",0
"Compute_connectivity","F-Exclusion",0
"Connectivity_normalization","F-Exclusion",0
"Network_definition","F-Exclusion",0
"Graph_characteristics","F-Exclusion",0
"Negative_correlation","F-Exclusion",0
"Sparsity_control","F-Exclusion",0
"Graph_measures","F-Exclusion",0
"Result_aggregation","F-Exclusion",0
"Software","F-Concatenate_Runs",0
"S-INU_correction","F-Concatenate_Runs",0
"S-Denoised","F-Concatenate_Runs",0
"S-Gradient_Distortion_Correction","F-Concatenate_Runs",0
"S-Fuse_conform","F-Concatenate_Runs",0
"S-Skull_stripping","F-Concatenate_Runs",0
"S-Spatial_normalization","F-Concatenate_Runs",0
"S-BBR_crossmodal_registration","F-Concatenate_Runs",0
"S-Surface_reconstruction","F-Concatenate_Runs",0
"S-Segmentation","F-Concatenate_Runs",0
"F-Exclusion","F-Concatenate_Runs",0
"F-Concatenate_Runs","F-Concatenate_Runs",0
"F-Removal_Init_Vol","F-Concatenate_Runs",0
"F-Skull_extraction","F-Concatenate_Runs",0
"F-Alignment/Head_motion_est","F-Concatenate_Runs",0
"F-Despiking","F-Concatenate_Runs",0
"F-Scrubbing","F-Concatenate_Runs",0
"F-Interpolate","F-Concatenate_Runs",0
"F-Slice_timing_correction","F-Concatenate_Runs",1
"F-Field_map_correction","F-Concatenate_Runs",0
"F-Unwarp","F-Concatenate_Runs",0
"F-Combined_echos","F-Concatenate_Runs",0
"F-Intensity_normalization","F-Concatenate_Runs",0
"F-Grand_mean_scaling","F-Concatenate_Runs",1
"F-Coregistration","F-Concatenate_Runs",0
"F-Spatial_normalization","F-Concatenate_Runs",0
"F-Spatial_smooth","F-Concatenate_Runs",0
"F-Extract_regressors","F-Concatenate_Runs",0
"F-surface","F-Concatenate_Runs",0
"F-RETROICOR","F-Concatenate_Runs",0
"F-RVHRCOR","F-Concatenate_Runs",0
"F-ANATICOR","F-Concatenate_Runs",0
"F-PESTICA","F-Concatenate_Runs",0
"F-CompCor","F-Concatenate_Runs",0
"F-tCompCor","F-Concatenate_Runs",0
"F-aCompCor","F-Concatenate_Runs",0
"F-ME_ICA","F-Concatenate_Runs",0
"F-ArtRepair","F-Concatenate_Runs",0
"F-Temporal_detrending","F-Concatenate_Runs",0
"F-Global_signal","F-Concatenate_Runs",0
"F-ICA_FIX","F-Concatenate_Runs",0
"F-ICA_AROMA","F-Concatenate_Runs",0
"F-Temporal_filt","F-Concatenate_Runs",0
"F-motion_regression","F-Concatenate_Runs",0
"F-Other_confound_regression","F-Concatenate_Runs",0
"F-PhysIO","F-Concatenate_Runs",0
"F-Regressors_filter","F-Concatenate_Runs",0
"F-Modular_filter_motion","F-Concatenate_Runs",0
"F-wavelet_decomposition","F-Concatenate_Runs",0
"Atlas_definition","F-Concatenate_Runs",0
"Time_series_ROI","F-Concatenate_Runs",0
"ROI_definition","F-Concatenate_Runs",0
"Combine_block","F-Concatenate_Runs",0
"Compute_connectivity","F-Concatenate_Runs",0
"Connectivity_normalization","F-Concatenate_Runs",0
"Network_definition","F-Concatenate_Runs",0
"Graph_characteristics","F-Concatenate_Runs",0
"Negative_correlation","F-Concatenate_Runs",0
"Sparsity_control","F-Concatenate_Runs",0
"Graph_measures","F-Concatenate_Runs",0
"Result_aggregation","F-Concatenate_Runs",0
"Software","F-Removal_Init_Vol",72
"S-INU_correction","F-Removal_Init_Vol",0
"S-Denoised","F-Removal_Init_Vol",0
"S-Gradient_Distortion_Correction","F-Removal_Init_Vol",0
"S-Fuse_conform","F-Removal_Init_Vol",0
"S-Skull_stripping","F-Removal_Init_Vol",1
"S-Spatial_normalization","F-Removal_Init_Vol",2
"S-BBR_crossmodal_registration","F-Removal_Init_Vol",0
"S-Surface_reconstruction","F-Removal_Init_Vol",0
"S-Segmentation","F-Removal_Init_Vol",1
"F-Exclusion","F-Removal_Init_Vol",0
"F-Concatenate_Runs","F-Removal_Init_Vol",0
"F-Removal_Init_Vol","F-Removal_Init_Vol",0
"F-Skull_extraction","F-Removal_Init_Vol",3
"F-Alignment/Head_motion_est","F-Removal_Init_Vol",0
"F-Despiking","F-Removal_Init_Vol",0
"F-Scrubbing","F-Removal_Init_Vol",0
"F-Interpolate","F-Removal_Init_Vol",0
"F-Slice_timing_correction","F-Removal_Init_Vol",2
"F-Field_map_correction","F-Removal_Init_Vol",1
"F-Unwarp","F-Removal_Init_Vol",0
"F-Combined_echos","F-Removal_Init_Vol",0
"F-Intensity_normalization","F-Removal_Init_Vol",3
"F-Grand_mean_scaling","F-Removal_Init_Vol",0
"F-Coregistration","F-Removal_Init_Vol",0
"F-Spatial_normalization","F-Removal_Init_Vol",1
"F-Spatial_smooth","F-Removal_Init_Vol",2
"F-Extract_regressors","F-Removal_Init_Vol",0
"F-surface","F-Removal_Init_Vol",1
"F-RETROICOR","F-Removal_Init_Vol",0
"F-RVHRCOR","F-Removal_Init_Vol",0
"F-ANATICOR","F-Removal_Init_Vol",0
"F-PESTICA","F-Removal_Init_Vol",0
"F-CompCor","F-Removal_Init_Vol",0
"F-tCompCor","F-Removal_Init_Vol",0
"F-aCompCor","F-Removal_Init_Vol",0
"F-ME_ICA","F-Removal_Init_Vol",0
"F-ArtRepair","F-Removal_Init_Vol",0
"F-Temporal_detrending","F-Removal_Init_Vol",1
"F-Global_signal","F-Removal_Init_Vol",0
"F-ICA_FIX","F-Removal_Init_Vol",0
"F-ICA_AROMA","F-Removal_Init_Vol",0
"F-Temporal_filt","F-Removal_Init_Vol",0
"F-motion_regression","F-Removal_Init_Vol",0
"F-Other_confound_regression","F-Removal_Init_Vol",0
"F-PhysIO","F-Removal_Init_Vol",0
"F-Regressors_filter","F-Removal_Init_Vol",0
"F-Modular_filter_motion","F-Removal_Init_Vol",0
"F-wavelet_decomposition","F-Removal_Init_Vol",0
"Atlas_definition","F-Removal_Init_Vol",0
"Time_series_ROI","F-Removal_Init_Vol",0
"ROI_definition","F-Removal_Init_Vol",0
"Combine_block","F-Removal_Init_Vol",0
"Compute_connectivity","F-Removal_Init_Vol",0
"Connectivity_normalization","F-Removal_Init_Vol",0
"Network_definition","F-Removal_Init_Vol",0
"Graph_characteristics","F-Removal_Init_Vol",0
"Negative_correlation","F-Removal_Init_Vol",0
"Sparsity_control","F-Removal_Init_Vol",0
"Graph_measures","F-Removal_Init_Vol",0
"Result_aggregation","F-Removal_Init_Vol",0
"Software","F-Skull_extraction",3
"S-INU_correction","F-Skull_extraction",0
"S-Denoised","F-Skull_extraction",0
"S-Gradient_Distortion_Correction","F-Skull_extraction",0
"S-Fuse_conform","F-Skull_extraction",0
"S-Skull_stripping","F-Skull_extraction",1
"S-Spatial_normalization","F-Skull_extraction",0
"S-BBR_crossmodal_registration","F-Skull_extraction",0
"S-Surface_reconstruction","F-Skull_extraction",0
"S-Segmentation","F-Skull_extraction",1
"F-Exclusion","F-Skull_extraction",0
"F-Concatenate_Runs","F-Skull_extraction",0
"F-Removal_Init_Vol","F-Skull_extraction",1
"F-Skull_extraction","F-Skull_extraction",0
"F-Alignment/Head_motion_est","F-Skull_extraction",6
"F-Despiking","F-Skull_extraction",0
"F-Scrubbing","F-Skull_extraction",0
"F-Interpolate","F-Skull_extraction",0
"F-Slice_timing_correction","F-Skull_extraction",1
"F-Field_map_correction","F-Skull_extraction",1
"F-Unwarp","F-Skull_extraction",0
"F-Combined_echos","F-Skull_extraction",0
"F-Intensity_normalization","F-Skull_extraction",0
"F-Grand_mean_scaling","F-Skull_extraction",0
"F-Coregistration","F-Skull_extraction",0
"F-Spatial_normalization","F-Skull_extraction",0
"F-Spatial_smooth","F-Skull_extraction",0
"F-Extract_regressors","F-Skull_extraction",0
"F-surface","F-Skull_extraction",0
"F-RETROICOR","F-Skull_extraction",0
"F-RVHRCOR","F-Skull_extraction",0
"F-ANATICOR","F-Skull_extraction",0
"F-PESTICA","F-Skull_extraction",0
"F-CompCor","F-Skull_extraction",0
"F-tCompCor","F-Skull_extraction",0
"F-aCompCor","F-Skull_extraction",0
"F-ME_ICA","F-Skull_extraction",0
"F-ArtRepair","F-Skull_extraction",0
"F-Temporal_detrending","F-Skull_extraction",0
"F-Global_signal","F-Skull_extraction",0
"F-ICA_FIX","F-Skull_extraction",0
"F-ICA_AROMA","F-Skull_extraction",0
"F-Temporal_filt","F-Skull_extraction",2
"F-motion_regression","F-Skull_extraction",1
"F-Other_confound_regression","F-Skull_extraction",0
"F-PhysIO","F-Skull_extraction",0
"F-Regressors_filter","F-Skull_extraction",0
"F-Modular_filter_motion","F-Skull_extraction",0
"F-wavelet_decomposition","F-Skull_extraction",0
"Atlas_definition","F-Skull_extraction",0
"Time_series_ROI","F-Skull_extraction",0
"ROI_definition","F-Skull_extraction",0
"Combine_block","F-Skull_extraction",0
"Compute_connectivity","F-Skull_extraction",0
"Connectivity_normalization","F-Skull_extraction",0
"Network_definition","F-Skull_extraction",0
"Graph_characteristics","F-Skull_extraction",0
"Negative_correlation","F-Skull_extraction",0
"Sparsity_control","F-Skull_extraction",0
"Graph_measures","F-Skull_extraction",0
"Result_aggregation","F-Skull_extraction",0
"Software","F-Alignment/Head_motion_est",38
"S-INU_correction","F-Alignment/Head_motion_est",0
"S-Denoised","F-Alignment/Head_motion_est",0
"S-Gradient_Distortion_Correction","F-Alignment/Head_motion_est",0
"S-Fuse_conform","F-Alignment/Head_motion_est",0
"S-Skull_stripping","F-Alignment/Head_motion_est",0
"S-Spatial_normalization","F-Alignment/Head_motion_est",1
"S-BBR_crossmodal_registration","F-Alignment/Head_motion_est",0
"S-Surface_reconstruction","F-Alignment/Head_motion_est",0
"S-Segmentation","F-Alignment/Head_motion_est",1
"F-Exclusion","F-Alignment/Head_motion_est",0
"F-Concatenate_Runs","F-Alignment/Head_motion_est",1
"F-Removal_Init_Vol","F-Alignment/Head_motion_est",16
"F-Skull_extraction","F-Alignment/Head_motion_est",2
"F-Alignment/Head_motion_est","F-Alignment/Head_motion_est",0
"F-Despiking","F-Alignment/Head_motion_est",1
"F-Scrubbing","F-Alignment/Head_motion_est",0
"F-Interpolate","F-Alignment/Head_motion_est",0
"F-Slice_timing_correction","F-Alignment/Head_motion_est",105
"F-Field_map_correction","F-Alignment/Head_motion_est",3
"F-Unwarp","F-Alignment/Head_motion_est",2
"F-Combined_echos","F-Alignment/Head_motion_est",0
"F-Intensity_normalization","F-Alignment/Head_motion_est",0
"F-Grand_mean_scaling","F-Alignment/Head_motion_est",0
"F-Coregistration","F-Alignment/Head_motion_est",2
"F-Spatial_normalization","F-Alignment/Head_motion_est",1
"F-Spatial_smooth","F-Alignment/Head_motion_est",0
"F-Extract_regressors","F-Alignment/Head_motion_est",0
"F-surface","F-Alignment/Head_motion_est",0
"F-RETROICOR","F-Alignment/Head_motion_est",1
"F-RVHRCOR","F-Alignment/Head_motion_est",0
"F-ANATICOR","F-Alignment/Head_motion_est",0
"F-PESTICA","F-Alignment/Head_motion_est",0
"F-CompCor","F-Alignment/Head_motion_est",0
"F-tCompCor","F-Alignment/Head_motion_est",0
"F-aCompCor","F-Alignment/Head_motion_est",0
"F-ME_ICA","F-Alignment/Head_motion_est",0
"F-ArtRepair","F-Alignment/Head_motion_est",0
"F-Temporal_detrending","F-Alignment/Head_motion_est",0
"F-Global_signal","F-Alignment/Head_motion_est",0
"F-ICA_FIX","F-Alignment/Head_motion_est",0
"F-ICA_AROMA","F-Alignment/Head_motion_est",0
"F-Temporal_filt","F-Alignment/Head_motion_est",3
"F-motion_regression","F-Alignment/Head_motion_est",0
"F-Other_confound_regression","F-Alignment/Head_motion_est",0
"F-PhysIO","F-Alignment/Head_motion_est",0
"F-Regressors_filter","F-Alignment/Head_motion_est",0
"F-Modular_filter_motion","F-Alignment/Head_motion_est",0
"F-wavelet_decomposition","F-Alignment/Head_motion_est",0
"Atlas_definition","F-Alignment/Head_motion_est",0
"Time_series_ROI","F-Alignment/Head_motion_est",0
"ROI_definition","F-Alignment/Head_motion_est",0
"Combine_block","F-Alignment/Head_motion_est",0
"Compute_connectivity","F-Alignment/Head_motion_est",0
"Connectivity_normalization","F-Alignment/Head_motion_est",0
"Network_definition","F-Alignment/Head_motion_est",0
"Graph_characteristics","F-Alignment/Head_motion_est",0
"Negative_correlation","F-Alignment/Head_motion_est",0
"Sparsity_control","F-Alignment/Head_motion_est",0
"Graph_measures","F-Alignment/Head_motion_est",0
"Result_aggregation","F-Alignment/Head_motion_est",0
"Software","F-Despiking",3
"S-INU_correction","F-Despiking",0
"S-Denoised","F-Despiking",0
"S-Gradient_Distortion_Correction","F-Despiking",0
"S-Fuse_conform","F-Despiking",0
"S-Skull_stripping","F-Despiking",0
"S-Spatial_normalization","F-Despiking",0
"S-BBR_crossmodal_registration","F-Despiking",0
"S-Surface_reconstruction","F-Despiking",0
"S-Segmentation","F-Despiking",0
"F-Exclusion","F-Despiking",0
"F-Concatenate_Runs","F-Despiking",0
"F-Removal_Init_Vol","F-Despiking",2
"F-Skull_extraction","F-Despiking",0
"F-Alignment/Head_motion_est","F-Despiking",4
"F-Despiking","F-Despiking",0
"F-Scrubbing","F-Despiking",0
"F-Interpolate","F-Despiking",0
"F-Slice_timing_correction","F-Despiking",0
"F-Field_map_correction","F-Despiking",1
"F-Unwarp","F-Despiking",0
"F-Combined_echos","F-Despiking",0
"F-Intensity_normalization","F-Despiking",0
"F-Grand_mean_scaling","F-Despiking",1
"F-Coregistration","F-Despiking",0
"F-Spatial_normalization","F-Despiking",2
"F-Spatial_smooth","F-Despiking",0
"F-Extract_regressors","F-Despiking",0
"F-surface","F-Despiking",0
"F-RETROICOR","F-Despiking",0
"F-RVHRCOR","F-Despiking",0
"F-ANATICOR","F-Despiking",0
"F-PESTICA","F-Despiking",0
"F-CompCor","F-Despiking",0
"F-tCompCor","F-Despiking",0
"F-aCompCor","F-Despiking",0
"F-ME_ICA","F-Despiking",0
"F-ArtRepair","F-Despiking",0
"F-Temporal_detrending","F-Despiking",1
"F-Global_signal","F-Despiking",0
"F-ICA_FIX","F-Despiking",0
"F-ICA_AROMA","F-Despiking",0
"F-Temporal_filt","F-Despiking",1
"F-motion_regression","F-Despiking",0
"F-Other_confound_regression","F-Despiking",1
"F-PhysIO","F-Despiking",0
"F-Regressors_filter","F-Despiking",1
"F-Modular_filter_motion","F-Despiking",0
"F-wavelet_decomposition","F-Despiking",0
"Atlas_definition","F-Despiking",0
"Time_series_ROI","F-Despiking",0
"ROI_definition","F-Despiking",0
"Combine_block","F-Despiking",0
"Compute_connectivity","F-Despiking",0
"Connectivity_normalization","F-Despiking",0
"Network_definition","F-Despiking",0
"Graph_characteristics","F-Despiking",0
"Negative_correlation","F-Despiking",0
"Sparsity_control","F-Despiking",0
"Graph_measures","F-Despiking",0
"Result_aggregation","F-Despiking",0
"Software","F-Scrubbing",0
"S-INU_correction","F-Scrubbing",0
"S-Denoised","F-Scrubbing",0
"S-Gradient_Distortion_Correction","F-Scrubbing",0
"S-Fuse_conform","F-Scrubbing",0
"S-Skull_stripping","F-Scrubbing",0
"S-Spatial_normalization","F-Scrubbing",0
"S-BBR_crossmodal_registration","F-Scrubbing",0
"S-Surface_reconstruction","F-Scrubbing",0
"S-Segmentation","F-Scrubbing",0
"F-Exclusion","F-Scrubbing",2
"F-Concatenate_Runs","F-Scrubbing",0
"F-Removal_Init_Vol","F-Scrubbing",2
"F-Skull_extraction","F-Scrubbing",0
"F-Alignment/Head_motion_est","F-Scrubbing",9
"F-Despiking","F-Scrubbing",0
"F-Scrubbing","F-Scrubbing",0
"F-Interpolate","F-Scrubbing",0
"F-Slice_timing_correction","F-Scrubbing",2
"F-Field_map_correction","F-Scrubbing",0
"F-Unwarp","F-Scrubbing",0
"F-Combined_echos","F-Scrubbing",0
"F-Intensity_normalization","F-Scrubbing",0
"F-Grand_mean_scaling","F-Scrubbing",0
"F-Coregistration","F-Scrubbing",2
"F-Spatial_normalization","F-Scrubbing",8
"F-Spatial_smooth","F-Scrubbing",10
"F-Extract_regressors","F-Scrubbing",0
"F-surface","F-Scrubbing",1
"F-RETROICOR","F-Scrubbing",0
"F-RVHRCOR","F-Scrubbing",0
"F-ANATICOR","F-Scrubbing",0
"F-PESTICA","F-Scrubbing",0
"F-CompCor","F-Scrubbing",1
"F-tCompCor","F-Scrubbing",0
"F-aCompCor","F-Scrubbing",1
"F-ME_ICA","F-Scrubbing",0
"F-ArtRepair","F-Scrubbing",0
"F-Temporal_detrending","F-Scrubbing",2
"F-Global_signal","F-Scrubbing",1
"F-ICA_FIX","F-Scrubbing",1
"F-ICA_AROMA","F-Scrubbing",0
"F-Temporal_filt","F-Scrubbing",8
"F-motion_regression","F-Scrubbing",9
"F-Other_confound_regression","F-Scrubbing",4
"F-PhysIO","F-Scrubbing",0
"F-Regressors_filter","F-Scrubbing",0
"F-Modular_filter_motion","F-Scrubbing",0
"F-wavelet_decomposition","F-Scrubbing",0
"Atlas_definition","F-Scrubbing",0
"Time_series_ROI","F-Scrubbing",0
"ROI_definition","F-Scrubbing",0
"Combine_block","F-Scrubbing",0
"Compute_connectivity","F-Scrubbing",0
"Connectivity_normalization","F-Scrubbing",0
"Network_definition","F-Scrubbing",0
"Graph_characteristics","F-Scrubbing",0
"Negative_correlation","F-Scrubbing",0
"Sparsity_control","F-Scrubbing",0
"Graph_measures","F-Scrubbing",0
"Result_aggregation","F-Scrubbing",0
"Software","F-Interpolate",0
"S-INU_correction","F-Interpolate",0
"S-Denoised","F-Interpolate",0
"S-Gradient_Distortion_Correction","F-Interpolate",0
"S-Fuse_conform","F-Interpolate",0
"S-Skull_stripping","F-Interpolate",0
"S-Spatial_normalization","F-Interpolate",0
"S-BBR_crossmodal_registration","F-Interpolate",0
"S-Surface_reconstruction","F-Interpolate",0
"S-Segmentation","F-Interpolate",0
"F-Exclusion","F-Interpolate",0
"F-Concatenate_Runs","F-Interpolate",0
"F-Removal_Init_Vol","F-Interpolate",0
"F-Skull_extraction","F-Interpolate",0
"F-Alignment/Head_motion_est","F-Interpolate",0
"F-Despiking","F-Interpolate",0
"F-Scrubbing","F-Interpolate",10
"F-Interpolate","F-Interpolate",0
"F-Slice_timing_correction","F-Interpolate",0
"F-Field_map_correction","F-Interpolate",0
"F-Unwarp","F-Interpolate",0
"F-Combined_echos","F-Interpolate",0
"F-Intensity_normalization","F-Interpolate",0
"F-Grand_mean_scaling","F-Interpolate",0
"F-Coregistration","F-Interpolate",0
"F-Spatial_normalization","F-Interpolate",0
"F-Spatial_smooth","F-Interpolate",1
"F-Extract_regressors","F-Interpolate",0
"F-surface","F-Interpolate",0
"F-RETROICOR","F-Interpolate",0
"F-RVHRCOR","F-Interpolate",0
"F-ANATICOR","F-Interpolate",0
"F-PESTICA","F-Interpolate",0
"F-CompCor","F-Interpolate",0
"F-tCompCor","F-Interpolate",0
"F-aCompCor","F-Interpolate",0
"F-ME_ICA","F-Interpolate",0
"F-ArtRepair","F-Interpolate",0
"F-Temporal_detrending","F-Interpolate",0
"F-Global_signal","F-Interpolate",1
"F-ICA_FIX","F-Interpolate",0
"F-ICA_AROMA","F-Interpolate",0
"F-Temporal_filt","F-Interpolate",0
"F-motion_regression","F-Interpolate",2
"F-Other_confound_regression","F-Interpolate",0
"F-PhysIO","F-Interpolate",0
"F-Regressors_filter","F-Interpolate",0
"F-Modular_filter_motion","F-Interpolate",0
"F-wavelet_decomposition","F-Interpolate",0
"Atlas_definition","F-Interpolate",0
"Time_series_ROI","F-Interpolate",0
"ROI_definition","F-Interpolate",0
"Combine_block","F-Interpolate",0
"Compute_connectivity","F-Interpolate",0
"Connectivity_normalization","F-Interpolate",0
"Network_definition","F-Interpolate",0
"Graph_characteristics","F-Interpolate",0
"Negative_correlation","F-Interpolate",0
"Sparsity_control","F-Interpolate",0
"Graph_measures","F-Interpolate",0
"Result_aggregation","F-Interpolate",0
"Software","F-Slice_timing_correction",48
"S-INU_correction","F-Slice_timing_correction",1
"S-Denoised","F-Slice_timing_correction",0
"S-Gradient_Distortion_Correction","F-Slice_timing_correction",0
"S-Fuse_conform","F-Slice_timing_correction",0
"S-Skull_stripping","F-Slice_timing_correction",0
"S-Spatial_normalization","F-Slice_timing_correction",0
"S-BBR_crossmodal_registration","F-Slice_timing_correction",0
"S-Surface_reconstruction","F-Slice_timing_correction",0
"S-Segmentation","F-Slice_timing_correction",3
"F-Exclusion","F-Slice_timing_correction",0
"F-Concatenate_Runs","F-Slice_timing_correction",0
"F-Removal_Init_Vol","F-Slice_timing_correction",55
"F-Skull_extraction","F-Slice_timing_correction",0
"F-Alignment/Head_motion_est","F-Slice_timing_correction",21
"F-Despiking","F-Slice_timing_correction",5
"F-Scrubbing","F-Slice_timing_correction",2
"F-Interpolate","F-Slice_timing_correction",0
"F-Slice_timing_correction","F-Slice_timing_correction",0
"F-Field_map_correction","F-Slice_timing_correction",2
"F-Unwarp","F-Slice_timing_correction",1
"F-Combined_echos","F-Slice_timing_correction",0
"F-Intensity_normalization","F-Slice_timing_correction",1
"F-Grand_mean_scaling","F-Slice_timing_correction",1
"F-Coregistration","F-Slice_timing_correction",0
"F-Spatial_normalization","F-Slice_timing_correction",1
"F-Spatial_smooth","F-Slice_timing_correction",0
"F-Extract_regressors","F-Slice_timing_correction",0
"F-surface","F-Slice_timing_correction",0
"F-RETROICOR","F-Slice_timing_correction",0
"F-RVHRCOR","F-Slice_timing_correction",1
"F-ANATICOR","F-Slice_timing_correction",0
"F-PESTICA","F-Slice_timing_correction",0
"F-CompCor","F-Slice_timing_correction",0
"F-tCompCor","F-Slice_timing_correction",0
"F-aCompCor","F-Slice_timing_correction",0
"F-ME_ICA","F-Slice_timing_correction",0
"F-ArtRepair","F-Slice_timing_correction",0
"F-Temporal_detrending","F-Slice_timing_correction",0
"F-Global_signal","F-Slice_timing_correction",0
"F-ICA_FIX","F-Slice_timing_correction",0
"F-ICA_AROMA","F-Slice_timing_correction",0
"F-Temporal_filt","F-Slice_timing_correction",0
"F-motion_regression","F-Slice_timing_correction",0
"F-Other_confound_regression","F-Slice_timing_correction",0
"F-PhysIO","F-Slice_timing_correction",0
"F-Regressors_filter","F-Slice_timing_correction",0
"F-Modular_filter_motion","F-Slice_timing_correction",0
"F-wavelet_decomposition","F-Slice_timing_correction",0
"Atlas_definition","F-Slice_timing_correction",0
"Time_series_ROI","F-Slice_timing_correction",0
"ROI_definition","F-Slice_timing_correction",0
"Combine_block","F-Slice_timing_correction",0
"Compute_connectivity","F-Slice_timing_correction",0
"Connectivity_normalization","F-Slice_timing_correction",0
"Network_definition","F-Slice_timing_correction",0
"Graph_characteristics","F-Slice_timing_correction",0
"Negative_correlation","F-Slice_timing_correction",0
"Sparsity_control","F-Slice_timing_correction",0
"Graph_measures","F-Slice_timing_correction",0
"Result_aggregation","F-Slice_timing_correction",0
"Software","F-Field_map_correction",3
"S-INU_correction","F-Field_map_correction",0
"S-Denoised","F-Field_map_correction",0
"S-Gradient_Distortion_Correction","F-Field_map_correction",0
"S-Fuse_conform","F-Field_map_correction",0
"S-Skull_stripping","F-Field_map_correction",0
"S-Spatial_normalization","F-Field_map_correction",2
"S-BBR_crossmodal_registration","F-Field_map_correction",0
"S-Surface_reconstruction","F-Field_map_correction",0
"S-Segmentation","F-Field_map_correction",0
"F-Exclusion","F-Field_map_correction",0
"F-Concatenate_Runs","F-Field_map_correction",0
"F-Removal_Init_Vol","F-Field_map_correction",1
"F-Skull_extraction","F-Field_map_correction",0
"F-Alignment/Head_motion_est","F-Field_map_correction",22
"F-Despiking","F-Field_map_correction",0
"F-Scrubbing","F-Field_map_correction",0
"F-Interpolate","F-Field_map_correction",0
"F-Slice_timing_correction","F-Field_map_correction",2
"F-Field_map_correction","F-Field_map_correction",0
"F-Unwarp","F-Field_map_correction",0
"F-Combined_echos","F-Field_map_correction",0
"F-Intensity_normalization","F-Field_map_correction",0
"F-Grand_mean_scaling","F-Field_map_correction",0
"F-Coregistration","F-Field_map_correction",2
"F-Spatial_normalization","F-Field_map_correction",0
"F-Spatial_smooth","F-Field_map_correction",0
"F-Extract_regressors","F-Field_map_correction",0
"F-surface","F-Field_map_correction",0
"F-RETROICOR","F-Field_map_correction",0
"F-RVHRCOR","F-Field_map_correction",0
"F-ANATICOR","F-Field_map_correction",0
"F-PESTICA","F-Field_map_correction",0
"F-CompCor","F-Field_map_correction",0
"F-tCompCor","F-Field_map_correction",0
"F-aCompCor","F-Field_map_correction",0
"F-ME_ICA","F-Field_map_correction",0
"F-ArtRepair","F-Field_map_correction",0
"F-Temporal_detrending","F-Field_map_correction",0
"F-Global_signal","F-Field_map_correction",0
"F-ICA_FIX","F-Field_map_correction",0
"F-ICA_AROMA","F-Field_map_correction",0
"F-Temporal_filt","F-Field_map_correction",0
"F-motion_regression","F-Field_map_correction",0
"F-Other_confound_regression","F-Field_map_correction",0
"F-PhysIO","F-Field_map_correction",0
"F-Regressors_filter","F-Field_map_correction",0
"F-Modular_filter_motion","F-Field_map_correction",0
"F-wavelet_decomposition","F-Field_map_correction",0
"Atlas_definition","F-Field_map_correction",0
"Time_series_ROI","F-Field_map_correction",0
"ROI_definition","F-Field_map_correction",0
"Combine_block","F-Field_map_correction",0
"Compute_connectivity","F-Field_map_correction",0
"Connectivity_normalization","F-Field_map_correction",0
"Network_definition","F-Field_map_correction",0
"Graph_characteristics","F-Field_map_correction",0
"Negative_correlation","F-Field_map_correction",0
"Sparsity_control","F-Field_map_correction",0
"Graph_measures","F-Field_map_correction",0
"Result_aggregation","F-Field_map_correction",0
"Software","F-Unwarp",1
"S-INU_correction","F-Unwarp",0
"S-Denoised","F-Unwarp",0
"S-Gradient_Distortion_Correction","F-Unwarp",0
"S-Fuse_conform","F-Unwarp",0
"S-Skull_stripping","F-Unwarp",0
"S-Spatial_normalization","F-Unwarp",0
"S-BBR_crossmodal_registration","F-Unwarp",0
"S-Surface_reconstruction","F-Unwarp",1
"S-Segmentation","F-Unwarp",0
"F-Exclusion","F-Unwarp",0
"F-Concatenate_Runs","F-Unwarp",0
"F-Removal_Init_Vol","F-Unwarp",0
"F-Skull_extraction","F-Unwarp",0
"F-Alignment/Head_motion_est","F-Unwarp",6
"F-Despiking","F-Unwarp",0
"F-Scrubbing","F-Unwarp",0
"F-Interpolate","F-Unwarp",0
