Starting multiverse analysis for all universes...
Subject 19/100 done. Global efficiency: 0.23703128154550335
Subject 20/100 done. Global efficiency: 0.22693849571841418
Subject 21/100 done. Global efficiency: 0.23819021607559993
Subject 22/100 done. Global efficiency: 0.24835841242226836
Subject 23/100 done. Global efficiency: 0.20049309475879454
Subject 24/100 done. Global efficiency: 0.20879824448852885
Subject 25/100 done. Global efficiency: 0.1866655679079585
Subject 26/100 done. Global efficiency: 0.24908946111608538
Subject 27/100 done. Global efficiency: 0.28477030073599774
Subject 28/100 done. Global efficiency: 0.1979653613530969
Subject 29/100 done. Global efficiency: 0.22340188629491095
Subject 30/100 done. Global efficiency: 0.18314327985258477
Subject 31/100 done. Global efficiency: 0.1959085975963329
Subject 32/100 done. Global efficiency: 0.17273204397094385
Subject 33/100 done. Global efficiency: 0.25906177363416844
Subject 34/100 done. Global efficiency: 0.19225644647326887
Subject 35/100 done. Global efficiency: 0.16040636407709238
Subject 36/100 done. Global efficiency: 0.19878239299627917
Subject 37/100 done. Global efficiency: 0.18194994982776558
Subject 38/100 done. Global efficiency: 0.12360692740120334
Subject 39/100 done. Global efficiency: 0.23360091287694465
Subject 40/100 done. Global efficiency: 0.21791216986813866
Subject 41/100 done. Global efficiency: 0.1853815028735487
Subject 42/100 done. Global efficiency: 0.22781975979301225
Subject 43/100 done. Global efficiency: 0.14747292102472123
Subject 44/100 done. Global efficiency: 0.2553131431845387
Subject 45/100 done. Global efficiency: 0.22216532084092233
Subject 46/100 done. Global efficiency: 0.23840062986948962
Subject 47/100 done. Global efficiency: 0.24469169545857405
Subject 48/100 done. Global efficiency: 0.16493637206038245
Subject 49/100 done. Global efficiency: 0.16388022272751365
Subject 50/100 done. Global efficiency: 0.1842044942553625
Subject 51/100 done. Global efficiency: 0.19035005542649794
Subject 52/100 done. Global efficiency: 0.18907944001249063
Subject 53/100 done. Global efficiency: 0.2581380511575998
Subject 54/100 done. Global efficiency: 0.2111163260060744
Subject 55/100 done. Global efficiency: 0.2786573440766986
Subject 56/100 done. Global efficiency: 0.1392526503564826
Subject 57/100 done. Global efficiency: 0.15190007375278422
Subject 58/100 done. Global efficiency: 0.24873594394449267
Subject 59/100 done. Global efficiency: 0.244765919283797
Subject 60/100 done. Global efficiency: 0.20311554352477962
Subject 61/100 done. Global efficiency: 0.20478213117862332
Subject 62/100 done. Global efficiency: 0.18384297555060686
Subject 63/100 done. Global efficiency: 0.17944084948817077
Subject 64/100 done. Global efficiency: 0.15639295887447505
Subject 65/100 done. Global efficiency: 0.19380719321239404
Subject 66/100 done. Global efficiency: 0.20503312910807112
Subject 67/100 done. Global efficiency: 0.19901334029138962
Subject 68/100 done. Global efficiency: 0.18276013898570714
Subject 69/100 done. Global efficiency: 0.1979723777457734
Subject 70/100 done. Global efficiency: 0.25282813123102327
Subject 71/100 done. Global efficiency: 0.21442788024910103
Subject 72/100 done. Global efficiency: 0.2825019618314573
Subject 73/100 done. Global efficiency: 0.29440538236992964
Subject 74/100 done. Global efficiency: 0.17100075336799822
Subject 75/100 done. Global efficiency: 0.2720820865068026
Subject 76/100 done. Global efficiency: 0.23545758822391016
Subject 77/100 done. Global efficiency: 0.26567582240705934
Subject 78/100 done. Global efficiency: 0.21269489296830413
Subject 79/100 done. Global efficiency: 0.28540760493255474
Subject 80/100 done. Global efficiency: 0.27200455604854024
Subject 81/100 done. Global efficiency: 0.17569707042738367
